target_id	length	eff_length	est_counts	tpm
ENSDART00000171117.1	11	12	0	0
ENSDART00000162914.1	10	11	0	0
ENSDART00000161368.1	354	201.492	0	0
ENSDART00000172037.1	344	191.729	4	0.494972
ENSDART00000165410.1	350	197.625	0	0
ENSDART00000163675.1	339	186.868	0	0
ENSDART00000172374.1	355	202.465	0	0
ENSDART00000161537.1	377	224.098	0	0
ENSDART00000159235.1	348	195.658	0	0
ENSDART00000171772.1	483	329.572	0	0
ENSDART00000167404.1	357	204.403	0	0
ENSDART00000171344.1	462	308.636	0	0
ENSDART00000168039.1	470	316.626	0	0
ENSDART00000157830.1	431	277.705	0	0
ENSDART00000166182.1	372	219.158	0	0
ENSDART00000167805.1	378	225.083	0	0
ENSDART00000159795.1	419	265.769	0	0
ENSDART00000160202.1	378	225.083	0	0
ENSDART00000163851.1	330	178.106	0	0
ENSDART00000161463.1	417	263.777	0	0
ENSDART00000164491.1	366	213.237	0	0
ENSDART00000158772.1	348	195.658	0	0
ENSDART00000167409.1	420	266.769	0	0
ENSDART00000160204.1	348	195.658	0	0
ENSDART00000167067.1	378	225.083	0	0
ENSDART00000161271.1	334	181.986	0	0
ENSDART00000163938.1	366	213.237	0	0
ENSDART00000161622.1	445	291.686	0	0
ENSDART00000162257.1	426	272.751	0	0
ENSDART00000158119.1	318	166.597	0	0
ENSDART00000169491.1	387	233.984	0	0
ENSDART00000172528.1	396	242.928	0	0
ENSDART00000166253.1	411	257.786	0	0
ENSDART00000160948.1	323	171.37	0	0
ENSDART00000164309.1	390	236.968	0	0
ENSDART00000160996.1	369	216.187	0	0
ENSDART00000166892.1	332	180.04	8	1.05421
ENSDART00000171613.1	393	239.937	3	0.296643
ENSDART00000164961.1	357	204.403	0	0
ENSDART00000164492.1	396	242.928	0	0
ENSDART00000158814.1	396	242.928	0	0
ENSDART00000171201.1	397	243.92	0	0
ENSDART00000164110.1	399	245.912	0	0
ENSDART00000166029.1	381	228.053	0	0
ENSDART00000165676.1	371	218.172	0	0
ENSDART00000163282.1	342	189.774	0	0
ENSDART00000167496.1	346	193.716	0	0
ENSDART00000164659.1	404	250.871	0	0
ENSDART00000164489.1	350	197.625	0	0
ENSDART00000160625.1	413	259.786	0	0
ENSDART00000169436.1	387	233.984	0	0
ENSDART00000170399.1	380	227.053	0	0
ENSDART00000162378.1	358	205.376	0	0
ENSDART00000169864.1	389	235.976	0	0
ENSDART00000164059.1	336	183.955	0	0
ENSDART00000168607.1	375	222.121	0	0
ENSDART00000161399.1	381	228.053	0	0
ENSDART00000171483.1	397	243.92	0	0
ENSDART00000171356.1	339	186.868	0	0
ENSDART00000172182.1	413	259.786	0	0
ENSDART00000113019.2	414	260.786	0	0
ENSDART00000170523.1	375	222.121	0	0
ENSDART00000160187.1	385	232.015	0	0
ENSDART00000114271.3	416	262.777	1	0.0902861
ENSDART00000159161.1	423	269.751	0	0
ENSDART00000162061.1	314	162.751	0	0
ENSDART00000166882.1	420	266.769	4	0.355741
ENSDART00000171020.1	383	230.023	0	0
ENSDART00000162456.1	366	213.237	0	0
ENSDART00000160762.1	345	192.723	0	0
ENSDART00000170804.1	366	213.237	0	0
ENSDART00000171132.1	338	185.918	0	0
ENSDART00000168177.1	3370	3216.49	183.082	1.35043
ENSDART00000171570.1	1371	1217.49	0	0
ENSDART00000162578.1	3367	3213.49	514.831	3.80099
ENSDART00000007487.8	873	719.493	790	26.0501
ENSDART00000171860.1	754	600.493	0	0
ENSDART00000166941.1	754	600.493	0	0
ENSDART00000168926.1	1724	1570.49	4744	71.6667
ENSDART00000169803.1	998	844.493	0	0
ENSDART00000162986.1	727	573.513	0	0
ENSDART00000167135.1	730	576.513	0	0
ENSDART00000164078.1	994	840.493	0	0
ENSDART00000162972.2	1568	1414.49	0.000281617	4.72354e-06
ENSDART00000158824.1	1553	1399.49	37.9997	0.644197
ENSDART00000169180.1	3210	3056.49	713	5.53445
ENSDART00000006482.8	3144	2990.49	0	0
ENSDART00000160925.1	4365	4211.49	29.9233	0.168571
ENSDART00000171190.1	3169	3015.49	0	0
ENSDART00000167950.1	667	513.513	0	0
ENSDART00000165811.1	556	402.513	1.04102	0.0613607
ENSDART00000170923.1	3705	3551.49	171.927	1.14853
ENSDART00000162709.2	4761	4607.49	1826	9.40253
ENSDART00000125149.2	2642	2488.49	0	0
ENSDART00000165795.1	1002	848.493	0.00143016	3.99894e-05
ENSDART00000079649.5	997	843.493	0.99857	0.028087
ENSDART00000171098.1	437	283.696	6	0.501773
ENSDART00000159824.1	734	580.513	0	0
ENSDART00000171437.1	63	21.5556	0	0
ENSDART00000166099.1	66	23.6383	0	0
ENSDART00000170926.1	63	21.5556	0	0
ENSDART00000158148.1	63	21.5556	0	0
ENSDART00000161136.1	63	21.5556	0	0
ENSDART00000169893.1	63	21.5556	0	0
ENSDART00000168298.1	66	23.6383	0	0
ENSDART00000167303.1	63	21.5556	0	0
ENSDART00000165205.1	63	21.5556	0	0
ENSDART00000166020.1	66	23.6383	0	0
ENSDART00000171914.1	63	21.5556	0	0
ENSDART00000172198.1	63	21.5556	0	0
ENSDART00000164479.1	66	23.6383	0	0
ENSDART00000161763.1	63	21.5556	0	0
ENSDART00000166828.1	63	21.5556	0	0
ENSDART00000171681.1	60	19.4884	0	0
ENSDART00000169359.1	63	21.5556	0	0
ENSDART00000158609.1	60	19.4884	0	0
ENSDART00000165666.1	63	21.5556	0	0
ENSDART00000171447.1	49	15.2069	0	0
ENSDART00000168385.1	60	19.4884	0	0
ENSDART00000164889.1	63	21.5556	0	0
ENSDART00000167932.1	60	19.4884	0	0
ENSDART00000168960.1	63	21.5556	0	0
ENSDART00000160963.1	63	21.5556	0	0
ENSDART00000166210.1	60	19.4884	0	0
ENSDART00000172223.1	56	17.6842	0	0
ENSDART00000161734.1	64	21.6383	0	0
ENSDART00000170448.1	57	17.8	0	0
ENSDART00000160161.1	46	13.1481	0	0
ENSDART00000164734.1	55	18.1143	0	0
ENSDART00000162964.1	49	15.2069	0	0
ENSDART00000163969.1	49	15.2069	0	0
ENSDART00000170440.1	46	13.1481	0	0
ENSDART00000157393.1	52	16.7188	0	0
ENSDART00000166061.1	45	12.6154	0	0
ENSDART00000164120.1	63	21.5556	0	0
ENSDART00000164253.1	66	23.6383	0	0
ENSDART00000160068.1	63	21.5556	0	0
ENSDART00000168126.1	57	17.8	0	0
ENSDART00000164894.1	66	23.6383	0	0
ENSDART00000162921.1	60	19.4884	0	0
ENSDART00000171243.1	66	23.6383	0	0
ENSDART00000161571.1	57	17.8	0	0
ENSDART00000162187.1	63	21.5556	0	0
ENSDART00000164325.1	63	21.5556	0	0
ENSDART00000160505.1	60	19.4884	0	0
ENSDART00000161690.1	63	21.5556	0	0
ENSDART00000158753.1	66	23.6383	0	0
ENSDART00000159473.1	63	21.5556	0	0
ENSDART00000159979.1	60	19.4884	0	0
ENSDART00000170206.1	61	20.4884	0	0
ENSDART00000167382.1	66	23.6383	0	0
ENSDART00000161727.1	66	23.6383	0	0
ENSDART00000166454.1	57	17.8	0	0
ENSDART00000166370.1	63	21.5556	0	0
ENSDART00000159628.1	63	21.5556	0	0
ENSDART00000158978.1	909	755.493	0	0
ENSDART00000159972.1	66	23.6383	0	0
ENSDART00000169617.1	63	21.5556	0	0
ENSDART00000162911.1	66	23.6383	1	1.00367
ENSDART00000172234.1	63	21.5556	0	0
ENSDART00000159092.1	63	21.5556	0	0
ENSDART00000162352.1	60	19.4884	0	0
ENSDART00000161459.1	60	19.4884	0	0
ENSDART00000159055.1	66	23.6383	0	0
ENSDART00000113547.2	903	749.493	0	0
ENSDART00000165172.1	63	21.5556	0	0
ENSDART00000167581.1	57	17.8	0	0
ENSDART00000169939.1	63	21.5556	0	0
