target_id	length	eff_length	est_counts	tpm
ENSDART00000171117.1	11	9	0	0
ENSDART00000162914.1	10	8	0	0
ENSDART00000161368.1	354	192.476	0	0
ENSDART00000172037.1	344	183.042	4.22022	0.397284
ENSDART00000165410.1	350	188.664	2.77978	0.253886
ENSDART00000163675.1	339	178.368	1	0.0966052
ENSDART00000172374.1	355	193.437	0	0
ENSDART00000161537.1	377	214.445	0	0
ENSDART00000159235.1	348	186.826	1	0.0922315
ENSDART00000171772.1	483	318.248	0	0
ENSDART00000167404.1	357	195.348	0	0
ENSDART00000171344.1	462	297.48	0	0
ENSDART00000168039.1	470	305.427	0	0
ENSDART00000157830.1	431	266.968	0	0
ENSDART00000166182.1	372	209.659	0	0
ENSDART00000167805.1	378	215.417	0	0
ENSDART00000159795.1	419	255.216	0	0
ENSDART00000160202.1	378	215.417	0	0
ENSDART00000163851.1	330	169.958	0	0
ENSDART00000161463.1	417	253.274	0	0
ENSDART00000164491.1	366	203.93	0	0
ENSDART00000158772.1	348	186.826	0	0
ENSDART00000167409.1	420	256.197	0	0
ENSDART00000160204.1	348	186.826	0	0
ENSDART00000167067.1	378	215.417	1	0.07999
ENSDART00000161271.1	334	173.712	0	0
ENSDART00000163938.1	366	203.93	0	0
ENSDART00000161622.1	445	280.755	0	0
ENSDART00000162257.1	426	262.048	0	0
ENSDART00000158119.1	318	158.782	0	0
ENSDART00000169491.1	387	224.113	1	0.0768864
ENSDART00000172528.1	396	232.861	1	0.073998
ENSDART00000166253.1	411	247.468	0	0
ENSDART00000160948.1	323	163.453	0	0
ENSDART00000164309.1	390	227.011	0	0
ENSDART00000160996.1	369	206.8	0	0
ENSDART00000166892.1	332	171.827	0	0
ENSDART00000171613.1	393	229.913	0	0
ENSDART00000164961.1	357	195.348	0	0
ENSDART00000164492.1	396	232.861	2	0.147996
ENSDART00000158814.1	396	232.861	0	0
ENSDART00000171201.1	397	233.843	0	0
ENSDART00000164110.1	399	235.784	0	0
ENSDART00000166029.1	381	218.314	0	0
ENSDART00000165676.1	371	208.706	0	0
ENSDART00000163282.1	342	181.171	0	0
ENSDART00000167496.1	346	184.915	0	0
ENSDART00000164659.1	404	240.677	0	0
ENSDART00000164489.1	350	188.664	0	0
ENSDART00000160625.1	413	249.4	0	0
ENSDART00000169436.1	387	224.113	0	0
ENSDART00000170399.1	380	217.352	0	0
ENSDART00000162378.1	358	196.299	1	0.0877808
ENSDART00000169864.1	389	226.045	0	0
ENSDART00000164059.1	336	175.552	1	0.0981544
ENSDART00000168607.1	375	212.547	1	0.0810703
ENSDART00000161399.1	381	218.314	0	0
ENSDART00000171483.1	397	233.843	1	0.0736871
ENSDART00000171356.1	339	178.368	0	0
ENSDART00000172182.1	413	249.4	0	0
ENSDART00000113019.2	414	250.368	0	0
ENSDART00000170523.1	375	212.547	0	0
ENSDART00000160187.1	385	222.203	0	0
ENSDART00000114271.3	416	252.299	0	0
ENSDART00000159161.1	423	259.1	0	0
ENSDART00000162061.1	314	155.085	0	0
ENSDART00000166882.1	420	256.197	0	0
ENSDART00000171020.1	383	220.253	0	0
ENSDART00000162456.1	366	203.93	0	0
ENSDART00000160762.1	345	183.972	2	0.187325
ENSDART00000170804.1	366	203.93	0	0
ENSDART00000171132.1	338	177.413	0	0
ENSDART00000168177.1	3370	3204.66	928.935	4.99482
ENSDART00000171570.1	1371	1205.66	0	0
ENSDART00000162578.1	3367	3201.66	22.393	0.120518
ENSDART00000007487.8	873	707.66	591	14.3906
ENSDART00000171860.1	754	588.66	0	0
ENSDART00000166941.1	754	588.66	0	0
ENSDART00000168926.1	1724	1558.66	10566	116.809
ENSDART00000169803.1	998	832.66	0.00583335	0.000120717
ENSDART00000162986.1	727	561.675	0	0
ENSDART00000167135.1	730	564.675	0	0
ENSDART00000164078.1	994	828.66	2.99417	0.062261
ENSDART00000162972.2	1568	1402.66	36	0.442249
ENSDART00000158824.1	1553	1387.66	0	0
ENSDART00000169180.1	3210	3044.66	731	4.13709
ENSDART00000006482.8	3144	2978.66	0	0
ENSDART00000160925.1	4365	4199.66	96.1763	0.394612
ENSDART00000171190.1	3169	3003.66	0	0
ENSDART00000167950.1	667	501.688	0	0
ENSDART00000165811.1	556	390.834	0	0
